Li,3,-0.8,5.39,0.62,3.01,5
B,5,-4.5,8.3,0.28,4.29,3.8
C,6,-6.4,11.26,1.26,6.27,4.8
N,7,-8,14.53,-0.07,7.3,6.5
O,8,-7.6,13.62,1.46,7.54,5.7
F,9,-12.1,17.42,3.4,10.41,5.7
Na,11,-0.8,5.14,0.55,2.85,4.6
Mg,12,-3.1,7.65,-0.4,3.75,4.9
Al,13,-2.1,5.99,0.44,3.23,3.3
Si,14,-2.3,8.15,1.39,4.77,5.8
P,15,-5.7,10.49,0.75,5.62,4.8
S,16,-6.4,10.36,2.08,6.22,4
Cl,17,-8.9,12.97,3.62,8.3,3.6
K,19,-0.6,4.34,0.5,2.42,3.7
Ca,20,-1.6,6.11,-0.3,2.2,4.5
Ti,22,-4.2,6.82,0.08,3.45,3
V,23,-4,6.74,0.53,3.6,2.7
Zn,30,-4,9.39,-0.6,4.45,5.4
Ga,31,-3.9,6,0.3,3.2,2.1
Ge,32,-2.9,7.9,1.2,4.6,5
As,33,-5,9.82,0.81,5.3,4.8
Se,34,-6.6,9.75,2.02,5.89,3.2
Br,35,-7.9,11.81,3.37,7.59,3.9
Rb,37,-0.5,4.18,0.49,2.34,3.7
Sr,38,-1.6,5.69,-0.3,2,4.2
Zr,40,-2.6,6.84,0.43,3.64,4.2
Mo,42,-2.2,7.1,0.75,3.9,4.9
Cd,48,-4.5,8.99,-0.7,4.33,4.5
In,49,-4.6,5.79,0.3,3.1,1.2
Sn,50,-4.4,7.34,1.2,4.3,3
Sb,51,-4.9,8.64,1.07,4.85,3.7
Te,52,-6,9.01,1.97,5.49,3
I,53,-7,10.45,3.06,6.76,3.5
Cs,55,-0.3,3.89,0.47,2.18,3.5
Ba,56,-1,5.21,-0.3,2.4,4.3
La,57,-2.5,5.58,0.5,3.1,3.1
Hf,72,-2,7,0,3.8,5
Ta,73,-3.2,7.89,0.32,4.11,4.3
W,74,-3.3,7.98,0.82,4.4,4.7
Pb,82,-4.6,7.42,0.36,3.9,2.8
